CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,F105,F168,F169,F170,F171,F173,F174,F175,F176,F177,F178,F179,F180,F181,F182,F183
,,,,,Age : Age 100 and over - Unit : Persons,Age : Age 0 to 4 - Unit : Persons,Age : Age 5 to 7 - Unit : Persons,Age : Age 8 to 9 - Unit : Persons,Age : Age 10 to 14 - Unit : Persons,Age : Age 16 to 17 - Unit : Persons,Age : Age 18 to 19 - Unit : Persons,Age : Age 20 to 24 - Unit : Persons,Age : Age 25 to 29 - Unit : Persons,Age : Age 30 to 44 - Unit : Persons,Age : Age 45 to 59 - Unit : Persons,Age : Age 60 to 64 - Unit : Persons,Age : Age 65 to 74 - Unit : Persons,Age : Age 75 to 84 - Unit : Persons,Age : Age 85 to 89 - Unit : Persons,Age : Age 90 and over - Unit : Persons
402,S12000005,Clackmannanshire,Local Authorities,LA,4,2927,1608,1100,3060,1354,1242,2856,2932,10712,11230,3571,4874,2525,566,247
403,S12000006,Dumfries & Galloway,Local Authorities,LA,25,7660,4568,2810,8270,3864,3027,7692,7375,25518,33962,11672,17997,11257,2582,1214
404,S12000008,East Ayrshire,Local Authorities,LA,11,6762,3913,2481,6926,3122,3078,7514,6986,24212,26601,8348,11915,7104,1519,769
405,S12000010,East Lothian,Local Authorities,LA,23,5925,3443,2098,5898,2580,2610,5292,4805,19487,22121,6431,9495,6061,1483,724
406,S12000011,East Renfrewshire,Local Authorities,LA,19,4984,3307,2251,6131,2578,2288,5085,3528,16341,20881,5692,8365,5760,1444,711
407,S12000013,Eilean Siar,Local Authorities,LA,6,1354,847,566,1529,669,535,1228,1258,5068,6105,2174,3197,1987,539,246
408,S12000014,Falkirk,Local Authorities,LA,20,9339,5239,3172,8848,3738,3804,8802,9310,33652,32947,10064,14051,8457,1925,863
409,S12000015,Fife,Local Authorities,LA,63,20775,11736,7420,20186,8852,9532,24141,20802,71267,77140,24996,35181,21155,5188,2547
410,S12000017,Highland,Local Authorities,LA,47,12705,7457,4951,13432,5821,4576,11571,12837,43325,52600,16964,23863,14161,3378,1638
411,S12000018,Inverclyde,Local Authorities,LA,10,4204,2483,1529,4498,1979,2098,4999,4726,15277,18518,5380,7916,5103,1159,598
412,S12000019,Midlothian,Local Authorities,LA,9,4878,2877,1804,5047,2125,2039,4766,4457,16432,18069,5793,7830,4603,998,472
413,S12000020,Moray,Local Authorities,LA,13,5246,2907,1980,5638,2496,2148,5011,5326,17834,19831,6383,9381,5885,1292,664
414,S12000021,North Ayrshire,Local Authorities,LA,24,7420,4336,2894,8010,3596,3358,7946,7287,25506,30157,9915,14583,8443,1897,975
415,S12000023,Orkney Islands,Local Authorities,LA,7,1107,606,398,1205,547,449,1133,1048,3870,4851,1606,2438,1302,305,174
416,S12000024,Perth & Kinross,Local Authorities,LA,36,7317,4337,2970,8704,3629,3205,7515,8063,26644,32237,10621,15632,10174,2547,1210
417,S12000026,Scottish Borders,Local Authorities,LA,24,5712,3522,2383,6335,2687,2333,5272,5029,20495,25957,8937,12951,7899,2004,965
418,S12000027,Shetland Islands,Local Authorities,LA,3,1389,802,524,1450,629,516,1295,1253,4606,5063,1557,2143,1178,296,160
419,S12000028,South Ayrshire,Local Authorities,LA,18,5512,3250,2162,6207,2760,2424,6150,5549,19737,25132,8407,13037,8155,2070,998
420,S12000029,South Lanarkshire,Local Authorities,LA,45,17401,10008,6478,17935,7832,7732,17620,18168,63875,70378,19798,29219,17937,3936,1851
421,S12000030,Stirling,Local Authorities,LA,13,4415,2925,1865,5598,2171,3232,7235,4842,16566,18841,5812,8541,5161,1203,628
422,S12000033,Aberdeen City,Local Authorities,LA,39,11512,5633,3539,9401,4369,8273,23207,21216,46610,42498,12454,16242,11680,2792,1317
423,S12000034,Aberdeenshire,Local Authorities,LA,36,15138,8475,5533,15146,6731,5465,13154,13194,52052,56797,17528,22571,13201,3325,1566
424,S12000035,Argyll & Bute,Local Authorities,LA,32,4107,2623,1689,4919,2199,1802,4438,4164,14857,19744,7191,10761,6243,1534,798
425,S12000036,"Edinburgh, City of",Local Authorities,LA,93,26163,12549,7945,21062,9134,14912,47822,45324,105409,88275,25061,34081,24528,6579,3299
